Dataset Name,App,Level,Compression Ratio,Compression Speed,Decompression Speed,Status
dataset_silesia_x-ray.tar,les,1,0.82696,1.32,47.69,OK
dataset_silesia_x-ray.tar,les,2,0.82696,1.31,49.4,OK
dataset_silesia_x-ray.tar,les,3,0.82696,1.3,47.17,OK
dataset_silesia_x-ray.tar,les,4,0.82696,1.32,50.99,OK
dataset_silesia_x-ray.tar,les,5,0.82696,1.3,49.9,OK
dataset_silesia_x-ray.tar,les,6,0.82696,1.31,50.93,OK
dataset_silesia_x-ray.tar,les,7,0.82696,1.27,49.71,OK
dataset_silesia_x-ray.tar,les,8,0.82696,1.3,50.47,OK
dataset_silesia_x-ray.tar,les,9,0.82696,1.25,51.09,OK
dataset_silesia_x-ray.tar,lz4,1,0.98983,338.43,392.51,OK
dataset_silesia_x-ray.tar,lz4,3,0.85028,42.45,396.29,OK
dataset_silesia_x-ray.tar,lz4,5,0.84712,37.96,399.19,OK
dataset_silesia_x-ray.tar,lz4,7,0.84712,36.4,357.2,OK
dataset_silesia_x-ray.tar,lz4,9,0.84712,37.82,357.82,OK
dataset_silesia_x-ray.tar,gzip,1,0.71102,45.06,99.99,OK
dataset_silesia_x-ray.tar,gzip,3,0.70307,40.29,114.86,OK
dataset_silesia_x-ray.tar,gzip,5,0.71315,25.94,110.5,OK
dataset_silesia_x-ray.tar,gzip,7,0.71213,26.15,111.21,OK
dataset_silesia_x-ray.tar,gzip,9,0.71213,25.13,111.27,OK
dataset_silesia_x-ray.tar,zstd,1,0.79873,315.44,609.3,OK
dataset_silesia_x-ray.tar,zstd,3,0.71784,87.13,432.23,OK
dataset_silesia_x-ray.tar,zstd,5,0.65545,44.79,415.79,OK
dataset_silesia_x-ray.tar,zstd,7,0.64114,42.33,394.7,OK
dataset_silesia_x-ray.tar,zstd,9,0.63236,27.63,405.2,OK
dataset_silesia_x-ray.tar,zstd,11,0.62705,13.55,366.12,OK
dataset_silesia_x-ray.tar,zstd,13,0.62702,4.75,351.57,OK
dataset_silesia_x-ray.tar,zstd,15,0.62632,4.29,380.72,OK
dataset_silesia_x-ray.tar,zstd,17,0.61373,2.88,314.11,OK
dataset_silesia_x-ray.tar,bzip2,1,0.51091,16.34,28.46,OK
dataset_silesia_x-ray.tar,bzip2,3,0.48936,16.55,25.37,OK
dataset_silesia_x-ray.tar,bzip2,5,0.48273,16.91,26.07,OK
dataset_silesia_x-ray.tar,bzip2,7,0.47978,15.67,23.95,OK
dataset_silesia_x-ray.tar,bzip2,9,0.47781,15.99,24.59,OK
dataset_silesia_reymont.tar,les,1,0.45554,1.54,0.0,RunErr
dataset_silesia_reymont.tar,les,2,0.45554,1.52,0.0,RunErr
dataset_silesia_reymont.tar,les,3,0.45554,1.55,0.0,RunErr
dataset_silesia_reymont.tar,les,4,0.45554,1.59,0.0,RunErr
dataset_silesia_reymont.tar,les,5,0.45554,1.56,0.0,RunErr
dataset_silesia_reymont.tar,les,6,0.45554,1.6,0.0,RunErr
dataset_silesia_reymont.tar,les,7,0.45554,1.55,0.0,RunErr
dataset_silesia_reymont.tar,les,8,0.45554,1.57,0.0,RunErr
dataset_silesia_reymont.tar,les,9,0.45554,1.57,0.0,RunErr
dataset_silesia_reymont.tar,lz4,1,0.47959,246.55,438.1,OK
dataset_silesia_reymont.tar,lz4,3,0.36633,72.44,401.66,OK
dataset_silesia_reymont.tar,lz4,5,0.33495,41.1,422.82,OK
dataset_silesia_reymont.tar,lz4,7,0.32281,21.59,395.17,OK
dataset_silesia_reymont.tar,lz4,9,0.31866,13.51,431.68,OK
dataset_silesia_reymont.tar,gzip,1,0.35816,75.53,145.51,OK
dataset_silesia_reymont.tar,gzip,3,0.32158,48.89,168.9,OK
dataset_silesia_reymont.tar,gzip,5,0.29097,32.84,155.56,OK
dataset_silesia_reymont.tar,gzip,7,0.27678,12.45,170.27,OK
dataset_silesia_reymont.tar,gzip,9,0.27445,6.54,167.98,OK
dataset_silesia_reymont.tar,zstd,1,0.32397,201.2,647.87,OK
dataset_silesia_reymont.tar,zstd,3,0.29261,137.14,369.7,OK
dataset_silesia_reymont.tar,zstd,5,0.28108,66.96,442.79,OK
dataset_silesia_reymont.tar,zstd,7,0.259,43.82,487.94,OK
dataset_silesia_reymont.tar,zstd,9,0.25154,34.79,529.66,OK
dataset_silesia_reymont.tar,zstd,11,0.23776,15.37,376.74,OK
dataset_silesia_reymont.tar,zstd,13,0.23207,5.5,415.7,OK
dataset_silesia_reymont.tar,zstd,15,0.21908,2.62,430.37,OK
dataset_silesia_reymont.tar,zstd,17,0.20616,2.28,493.57,OK
dataset_silesia_reymont.tar,bzip2,1,0.2232,16.19,38.51,OK
dataset_silesia_reymont.tar,bzip2,3,0.20311,16.21,34.43,OK
dataset_silesia_reymont.tar,bzip2,5,0.19479,15.93,33.06,OK
dataset_silesia_reymont.tar,bzip2,7,0.19101,15.3,31.49,OK
dataset_silesia_reymont.tar,bzip2,9,0.18776,14.24,14.45,OK
dataset_silesia_xml.tar,les,1,0.28925,1.72,0.0,RunErr
dataset_silesia_xml.tar,les,2,0.28925,1.64,0.0,RunErr
dataset_silesia_xml.tar,les,3,0.28925,1.72,0.0,RunErr
dataset_silesia_xml.tar,les,4,0.28925,1.77,0.0,RunErr
dataset_silesia_xml.tar,les,5,0.28925,1.7,0.0,RunErr
dataset_silesia_xml.tar,les,6,0.28925,1.79,0.0,RunErr
dataset_silesia_xml.tar,les,7,0.28925,1.62,0.0,RunErr
dataset_silesia_xml.tar,les,8,0.28925,1.68,0.0,RunErr
dataset_silesia_xml.tar,les,9,0.28925,1.7,0.0,RunErr
