Dataset Name,App,Level,Compression Ratio,Compression Speed,Decompression Speed,Status
dataset_silesia_xml.tar,lz4,1,0.22935,398.95,477.02,OK
dataset_silesia_xml.tar,lz4,3,0.15948,144.43,513.73,OK
dataset_silesia_xml.tar,lz4,5,0.14839,97.42,491.02,OK
dataset_silesia_xml.tar,lz4,7,0.14489,67.36,473.31,OK
dataset_silesia_xml.tar,lz4,9,0.1441,56.24,511.06,OK
dataset_silesia_xml.tar,gzip,1,0.18064,150.94,208.96,OK
dataset_silesia_xml.tar,gzip,3,0.15388,120.54,197.67,OK
dataset_silesia_xml.tar,gzip,5,0.13659,82.28,218.74,OK
dataset_silesia_xml.tar,gzip,7,0.12652,50.88,238.19,OK
dataset_silesia_xml.tar,gzip,9,0.1237,32.27,244.06,OK
dataset_silesia_xml.tar,zstd,1,0.13023,410.89,835.2,OK
dataset_silesia_xml.tar,zstd,3,0.11937,289.08,703.3,OK
dataset_silesia_xml.tar,zstd,5,0.10779,130.66,679.76,OK
dataset_silesia_xml.tar,zstd,7,0.09955,89.86,620.04,OK
dataset_silesia_xml.tar,zstd,9,0.09697,75.69,688.61,OK
dataset_silesia_xml.tar,zstd,11,0.09344,41.79,592.67,OK
dataset_silesia_xml.tar,zstd,13,0.09293,26.03,698.98,OK
dataset_silesia_xml.tar,zstd,15,0.09053,15.79,559.23,OK
dataset_silesia_xml.tar,zstd,17,0.08692,7.05,679.13,OK
dataset_silesia_xml.tar,bzip2,1,0.10594,14.72,63.05,OK
dataset_silesia_xml.tar,bzip2,3,0.09093,14.08,53.62,OK
dataset_silesia_xml.tar,bzip2,5,0.08454,12.21,48.9,OK
dataset_silesia_xml.tar,bzip2,7,0.08179,12.68,48.71,OK
dataset_silesia_xml.tar,bzip2,9,0.08225,12.07,51.03,OK
dataset_silesia_samba.tar,les,1,0.45386,15.46,186.1,OK
dataset_silesia_samba.tar,les,2,0.41424,13.82,203.0,OK
dataset_silesia_samba.tar,les,3,0.41017,13.87,211.01,OK
dataset_silesia_samba.tar,les,4,0.4087,13.77,199.88,OK
dataset_silesia_samba.tar,les,5,0.41238,13.27,209.5,OK
dataset_silesia_samba.tar,les,6,0.41223,13.07,208.54,OK
dataset_silesia_samba.tar,les,7,0.41215,12.85,204.11,OK
dataset_silesia_samba.tar,les,8,0.41212,12.99,204.0,OK
dataset_silesia_samba.tar,les,9,0.41211,12.66,180.76,OK
dataset_silesia_samba.tar,lz4,1,0.35724,417.83,604.95,OK
dataset_silesia_samba.tar,lz4,3,0.29243,113.24,609.01,OK
dataset_silesia_samba.tar,lz4,5,0.28648,76.39,599.55,OK
dataset_silesia_samba.tar,lz4,7,0.28495,59.79,561.16,OK
dataset_silesia_samba.tar,lz4,9,0.2846,43.47,607.3,OK
dataset_silesia_samba.tar,gzip,1,0.29362,111.51,195.6,OK
dataset_silesia_samba.tar,gzip,3,0.2772,84.69,195.85,OK
dataset_silesia_samba.tar,gzip,5,0.25539,61.96,207.16,OK
dataset_silesia_samba.tar,gzip,7,0.25091,37.02,200.9,OK
dataset_silesia_samba.tar,gzip,9,0.25024,24.14,208.06,OK
dataset_silesia_samba.tar,zstd,1,0.25517,355.7,994.01,OK
dataset_silesia_samba.tar,zstd,3,0.23033,223.7,866.58,OK
dataset_silesia_samba.tar,zstd,5,0.21942,115.29,867.42,OK
dataset_silesia_samba.tar,zstd,7,0.20982,80.77,984.92,OK
dataset_silesia_samba.tar,zstd,9,0.20264,60.02,907.07,OK
dataset_silesia_samba.tar,zstd,11,0.19985,30.49,1001.06,OK
dataset_silesia_samba.tar,zstd,13,0.19943,12.42,930.45,OK
dataset_silesia_samba.tar,zstd,15,0.19649,9.43,1020.85,OK
dataset_silesia_samba.tar,zstd,17,0.18298,5.35,685.2,OK
dataset_silesia_samba.tar,bzip2,1,0.23504,17.5,42.82,OK
dataset_silesia_samba.tar,bzip2,3,0.21918,17.3,42.89,OK
dataset_silesia_samba.tar,bzip2,5,0.21407,17.81,42.78,OK
dataset_silesia_samba.tar,bzip2,7,0.21042,17.58,40.54,OK
dataset_silesia_samba.tar,bzip2,9,0.21048,16.81,38.9,OK
dataset_silesia_nci.tar,les,1,0.29816,21.23,147.45,OK
dataset_silesia_nci.tar,les,2,0.25575,19.26,264.15,OK
dataset_silesia_nci.tar,les,3,0.24578,18.84,269.46,OK
dataset_silesia_nci.tar,les,4,0.24008,17.68,257.91,OK
dataset_silesia_nci.tar,les,5,0.23807,17.42,276.55,OK
dataset_silesia_nci.tar,les,6,0.23782,17.49,274.55,OK
dataset_silesia_nci.tar,les,7,0.23779,18.4,258.16,OK
dataset_silesia_nci.tar,les,8,0.23777,17.31,239.99,OK
dataset_silesia_nci.tar,les,9,0.23776,15.68,201.19,OK
dataset_silesia_nci.tar,lz4,1,0.16506,420.59,541.56,OK
dataset_silesia_nci.tar,lz4,3,0.12694,135.47,601.58,OK
dataset_silesia_nci.tar,lz4,5,0.11568,91.15,629.32,OK
dataset_silesia_nci.tar,lz4,7,0.11111,48.69,605.24,OK
dataset_silesia_nci.tar,lz4,9,0.10979,32.83,704.01,OK
dataset_silesia_nci.tar,gzip,1,0.13779,187.71,246.61,OK
dataset_silesia_nci.tar,gzip,3,0.11949,158.45,259.88,OK
dataset_silesia_nci.tar,gzip,5,0.10068,108.78,241.4,OK
dataset_silesia_nci.tar,gzip,7,0.0936,70.69,273.29,OK
dataset_silesia_nci.tar,gzip,9,0.08903,18.2,261.64,OK
dataset_silesia_nci.tar,zstd,1,0.08505,654.8,1110.37,OK
dataset_silesia_nci.tar,zstd,3,0.08477,375.99,815.81,OK
dataset_silesia_nci.tar,zstd,5,0.07699,172.51,1168.06,OK
dataset_silesia_nci.tar,zstd,7,0.07026,119.27,1173.12,OK
dataset_silesia_nci.tar,zstd,9,0.06699,96.79,1142.82,OK
dataset_silesia_nci.tar,zstd,11,0.06278,53.66,1144.22,OK
dataset_silesia_nci.tar,zstd,13,0.06291,26.56,1164.01,OK
dataset_silesia_nci.tar,zstd,15,0.05844,12.8,1054.65,OK
dataset_silesia_nci.tar,zstd,17,0.05505,5.56,1063.72,OK
dataset_silesia_nci.tar,bzip2,1,0.07028,14.6,68.78,OK
dataset_silesia_nci.tar,bzip2,3,0.06067,12.55,53.91,OK
dataset_silesia_nci.tar,bzip2,5,0.05731,10.58,52.24,OK
dataset_silesia_nci.tar,bzip2,7,0.05541,10.47,50.96,OK
dataset_silesia_nci.tar,bzip2,9,0.05403,10.22,51.24,OK
dataset_silesia_mr.tar,les,1,0.44535,16.94,78.88,OK
dataset_silesia_mr.tar,les,2,0.44974,17.04,81.82,OK
dataset_silesia_mr.tar,les,3,0.45859,14.75,77.31,OK
dataset_silesia_mr.tar,les,4,0.45964,15.85,75.47,OK
dataset_silesia_mr.tar,les,5,0.45947,14.99,70.4,OK
dataset_silesia_mr.tar,les,6,0.45945,15.39,61.61,OK
dataset_silesia_mr.tar,les,7,0.46043,14.1,58.7,OK
dataset_silesia_mr.tar,les,8,0.46118,13.85,62.47,OK
dataset_silesia_mr.tar,les,9,0.46214,13.37,62.39,OK
dataset_silesia_mr.tar,lz4,1,0.54571,337.87,519.52,OK
dataset_silesia_mr.tar,lz4,3,0.46588,79.41,499.71,OK
dataset_silesia_mr.tar,lz4,5,0.44005,47.4,510.2,OK
dataset_silesia_mr.tar,lz4,7,0.42896,26.82,485.76,OK
dataset_silesia_mr.tar,lz4,9,0.4259,17.69,502.68,OK
dataset_silesia_mr.tar,gzip,1,0.38568,86.93,154.62,OK
dataset_silesia_mr.tar,gzip,3,0.36972,59.15,164.2,OK
dataset_silesia_mr.tar,gzip,5,0.37227,34.73,148.88,OK
dataset_silesia_mr.tar,gzip,7,0.36956,15.93,150.08,OK
dataset_silesia_mr.tar,gzip,9,0.36842,8.17,163.59,OK
dataset_silesia_mr.tar,zstd,1,0.38319,262.3,772.69,OK
dataset_silesia_mr.tar,zstd,3,0.35573,133.16,574.15,OK
dataset_silesia_mr.tar,zstd,5,0.33861,82.96,595.14,OK
dataset_silesia_mr.tar,zstd,7,0.33616,52.98,619.07,OK
dataset_silesia_mr.tar,zstd,9,0.33332,42.04,535.44,OK
dataset_silesia_mr.tar,zstd,11,0.32859,19.13,570.11,OK
dataset_silesia_mr.tar,zstd,13,0.32744,7.51,597.86,OK
dataset_silesia_mr.tar,zstd,15,0.32492,4.69,580.72,OK
dataset_silesia_mr.tar,zstd,17,0.31501,3.53,370.05,OK
dataset_silesia_mr.tar,bzip2,1,0.25824,22.64,46.33,OK
dataset_silesia_mr.tar,bzip2,3,0.25207,21.51,39.74,OK
dataset_silesia_mr.tar,bzip2,5,0.24838,22.95,38.87,OK
dataset_silesia_mr.tar,bzip2,7,0.24633,21.65,39.29,OK
dataset_silesia_mr.tar,bzip2,9,0.24478,22.79,38.36,OK
dataset_silesia_mozilla.tar,les,1,0.53221,14.45,189.65,OK
dataset_silesia_mozilla.tar,les,2,0.50207,12.25,181.52,OK
dataset_silesia_mozilla.tar,les,3,0.49693,11.9,189.2,OK
dataset_silesia_mozilla.tar,les,4,0.49615,12.06,187.94,OK
dataset_silesia_mozilla.tar,les,5,0.49537,11.49,183.79,OK
dataset_silesia_mozilla.tar,les,6,0.49641,11.78,184.22,OK
dataset_silesia_mozilla.tar,les,7,0.49626,11.46,198.09,OK
dataset_silesia_mozilla.tar,les,8,0.49622,11.2,192.25,OK
dataset_silesia_mozilla.tar,les,9,0.49621,11.55,180.26,OK
dataset_silesia_mozilla.tar,lz4,1,0.51614,359.88,561.93,OK
dataset_silesia_mozilla.tar,lz4,3,0.44176,84.99,577.4,OK
dataset_silesia_mozilla.tar,lz4,5,0.4351,65.16,571.63,OK
dataset_silesia_mozilla.tar,lz4,7,0.43243,50.06,564.88,OK
dataset_silesia_mozilla.tar,lz4,9,0.43138,36.77,587.75,OK
dataset_silesia_mozilla.tar,gzip,1,0.40379,74.62,151.82,OK
dataset_silesia_mozilla.tar,gzip,3,0.3907,55.46,155.42,OK
dataset_silesia_mozilla.tar,gzip,5,0.37405,38.04,161.59,OK
dataset_silesia_mozilla.tar,gzip,7,0.37116,20.56,162.34,OK
dataset_silesia_mozilla.tar,gzip,9,0.37077,7.72,154.73,OK
dataset_silesia_mozilla.tar,zstd,1,0.39267,319.5,845.32,OK
dataset_silesia_mozilla.tar,zstd,3,0.3612,177.82,779.67,OK
dataset_silesia_mozilla.tar,zstd,5,0.34952,93.83,769.38,OK
dataset_silesia_mozilla.tar,zstd,7,0.33732,50.83,783.51,OK
dataset_silesia_mozilla.tar,zstd,9,0.33072,48.21,757.85,OK
dataset_silesia_mozilla.tar,zstd,11,0.32838,23.01,771.16,OK
dataset_silesia_mozilla.tar,zstd,13,0.32804,10.42,511.9,OK
dataset_silesia_mozilla.tar,zstd,15,0.32685,7.19,747.86,OK
dataset_silesia_mozilla.tar,zstd,17,0.30517,3.97,563.66,OK
dataset_silesia_mozilla.tar,bzip2,1,0.36446,15.56,32.39,OK
dataset_silesia_mozilla.tar,bzip2,3,0.35728,16.41,32.02,OK
dataset_silesia_mozilla.tar,bzip2,5,0.353,16.03,31.69,OK
dataset_silesia_mozilla.tar,bzip2,7,0.35103,17.13,31.38,OK
dataset_silesia_mozilla.tar,bzip2,9,0.34971,17.01,30.29,OK
dataset_silesia_dickens.tar,les,1,0.57192,12.99,74.23,OK
dataset_silesia_dickens.tar,les,2,0.5712,11.62,78.08,OK
dataset_silesia_dickens.tar,les,3,0.56987,11.47,51.11,OK
dataset_silesia_dickens.tar,les,4,0.56831,11.47,55.01,OK
dataset_silesia_dickens.tar,les,5,0.56769,10.75,50.57,OK
dataset_silesia_dickens.tar,les,6,0.56778,11.3,54.3,OK
dataset_silesia_dickens.tar,les,7,0.56802,11.42,53.29,OK
dataset_silesia_dickens.tar,les,8,0.56846,11.18,49.29,OK
dataset_silesia_dickens.tar,les,9,0.56871,11.12,48.24,OK
dataset_silesia_dickens.tar,lz4,1,0.63059,245.5,442.2,OK
dataset_silesia_dickens.tar,lz4,3,0.46911,57.49,459.93,OK
dataset_silesia_dickens.tar,lz4,5,0.44298,32.8,449.56,OK
dataset_silesia_dickens.tar,lz4,7,0.43655,22.98,458.75,OK
dataset_silesia_dickens.tar,lz4,9,0.43548,18.55,476.05,OK
dataset_silesia_dickens.tar,gzip,1,0.44929,73.6,135.5,OK
dataset_silesia_dickens.tar,gzip,3,0.41076,43.17,153.12,OK
dataset_silesia_dickens.tar,gzip,5,0.38695,25.92,157.69,OK
dataset_silesia_dickens.tar,gzip,7,0.3781,14.54,158.45,OK
dataset_silesia_dickens.tar,gzip,9,0.37769,12.2,153.2,OK
dataset_silesia_dickens.tar,zstd,1,0.41798,196.31,646.85,OK
dataset_silesia_dickens.tar,zstd,3,0.3598,125.13,560.86,OK
dataset_silesia_dickens.tar,zstd,5,0.34629,68.72,552.48,OK
dataset_silesia_dickens.tar,zstd,7,0.32849,43.74,590.01,OK
dataset_silesia_dickens.tar,zstd,9,0.32186,30.47,524.38,OK
dataset_silesia_dickens.tar,zstd,11,0.31139,13.09,531.21,OK
dataset_silesia_dickens.tar,zstd,13,0.30615,4.61,534.64,OK
dataset_silesia_dickens.tar,zstd,15,0.29985,2.79,582.32,OK
dataset_silesia_dickens.tar,zstd,17,0.28428,2.02,491.06,OK
dataset_silesia_dickens.tar,bzip2,1,0.32379,15.45,30.66,OK
dataset_silesia_dickens.tar,bzip2,3,0.29498,14.78,28.79,OK
dataset_silesia_dickens.tar,bzip2,5,0.28521,14.81,27.45,OK
dataset_silesia_dickens.tar,bzip2,7,0.27855,14.19,27.51,OK
dataset_silesia_dickens.tar,bzip2,9,0.27453,14.64,27.89,OK
dataset_silesia_ooffice.tar,les,1,0.69802,11.92,142.05,OK
