Dataset Name,App,Level,Compression Ratio,Compression Speed,Decompression Speed,Status
dataset_silesia_x-ray.tar,les,1,0.81873,110.54,145.57,OK
dataset_silesia_x-ray.tar,les,2,0.80917,105.59,138.53,OK
dataset_silesia_x-ray.tar,les,3,0.8061,105.57,148.34,OK
dataset_silesia_x-ray.tar,les,4,0.80154,74.44,158.61,OK
dataset_silesia_x-ray.tar,les,5,0.80328,76.39,160.76,OK
dataset_silesia_x-ray.tar,les,6,0.8074,72.62,149.92,OK
dataset_silesia_x-ray.tar,les,7,0.81734,40.09,145.48,OK
dataset_silesia_x-ray.tar,les,8,0.82613,35.1,139.22,OK
dataset_silesia_x-ray.tar,les,9,0.82696,18.96,137.99,OK
dataset_silesia_x-ray.tar,gzip,1,0.71102,54.67,119.26,OK
dataset_silesia_x-ray.tar,gzip,3,0.70307,40.95,105.19,OK
dataset_silesia_x-ray.tar,gzip,5,0.71315,28.5,110.65,OK
dataset_silesia_x-ray.tar,gzip,7,0.71213,28.86,122.57,OK
dataset_silesia_x-ray.tar,gzip,9,0.71213,28.94,121.37,OK
dataset_silesia_x-ray.tar,lz4,1,0.98983,370.9,483.6,OK
dataset_silesia_x-ray.tar,lz4,3,0.85028,43.37,416.15,OK
dataset_silesia_x-ray.tar,lz4,5,0.84712,40.82,436.89,OK
dataset_silesia_x-ray.tar,lz4,7,0.84712,43.22,439.44,OK
dataset_silesia_x-ray.tar,lz4,9,0.84712,39.62,444.96,OK
dataset_silesia_x-ray.tar,zstd,1,0.79873,303.97,686.82,OK
dataset_silesia_x-ray.tar,zstd,3,0.71784,94.13,497.76,OK
dataset_silesia_x-ray.tar,zstd,5,0.65545,57.66,445.64,OK
dataset_silesia_x-ray.tar,zstd,7,0.64114,46.53,434.16,OK
dataset_silesia_x-ray.tar,zstd,9,0.63236,31.53,436.18,OK
dataset_silesia_x-ray.tar,zstd,11,0.62705,12.47,356.82,OK
dataset_silesia_x-ray.tar,zstd,13,0.62702,5.13,396.71,OK
dataset_silesia_x-ray.tar,zstd,15,0.62632,4.44,394.29,OK
dataset_silesia_x-ray.tar,zstd,17,0.61373,3.18,368.68,OK
dataset_silesia_x-ray.tar,bzip2,1,0.51091,17.64,29.95,OK
dataset_silesia_x-ray.tar,bzip2,3,0.48936,17.87,28.06,OK
dataset_silesia_x-ray.tar,bzip2,5,0.48272,18.05,26.09,OK
dataset_silesia_x-ray.tar,bzip2,7,0.47978,17.03,24.95,OK
dataset_silesia_x-ray.tar,bzip2,9,0.47781,15.49,24.49,OK
dataset_silesia_reymont.tar,les,1,0.53408,86.05,316.09,OK
dataset_silesia_reymont.tar,les,2,0.49259,85.02,302.1,OK
dataset_silesia_reymont.tar,les,3,0.45968,76.22,348.74,OK
dataset_silesia_reymont.tar,les,4,0.43999,41.11,344.76,OK
dataset_silesia_reymont.tar,les,5,0.42641,31.09,321.79,OK
dataset_silesia_reymont.tar,les,6,0.4189,26.24,312.34,OK
dataset_silesia_reymont.tar,les,7,0.41658,18.63,290.55,OK
dataset_silesia_reymont.tar,les,8,0.41618,18.09,261.87,OK
dataset_silesia_reymont.tar,les,9,0.41618,13.73,274.22,OK
dataset_silesia_reymont.tar,gzip,1,0.35816,81.05,134.23,OK
dataset_silesia_reymont.tar,gzip,3,0.32158,45.73,169.49,OK
dataset_silesia_reymont.tar,gzip,5,0.29097,33.63,173.59,OK
dataset_silesia_reymont.tar,gzip,7,0.27678,13.36,172.63,OK
dataset_silesia_reymont.tar,gzip,9,0.27445,6.59,173.94,OK
dataset_silesia_reymont.tar,lz4,1,0.47959,240.4,426.65,OK
dataset_silesia_reymont.tar,lz4,3,0.36633,68.94,407.04,OK
dataset_silesia_reymont.tar,lz4,5,0.33495,39.64,416.43,OK
dataset_silesia_reymont.tar,lz4,7,0.32281,23.94,474.41,OK
dataset_silesia_reymont.tar,lz4,9,0.31866,14.86,494.98,OK
dataset_silesia_reymont.tar,zstd,1,0.32397,232.75,682.39,OK
dataset_silesia_reymont.tar,zstd,3,0.29261,152.17,526.65,OK
dataset_silesia_reymont.tar,zstd,5,0.28108,64.0,424.77,OK
dataset_silesia_reymont.tar,zstd,7,0.259,40.95,490.45,OK
dataset_silesia_reymont.tar,zstd,9,0.25154,27.82,287.72,OK
dataset_silesia_reymont.tar,zstd,11,0.23776,12.14,449.76,OK
dataset_silesia_reymont.tar,zstd,13,0.23207,5.36,576.86,OK
dataset_silesia_reymont.tar,zstd,15,0.21908,3.0,557.06,OK
dataset_silesia_reymont.tar,zstd,17,0.20616,2.54,496.81,OK
dataset_silesia_reymont.tar,bzip2,1,0.22321,18.07,41.89,OK
dataset_silesia_reymont.tar,bzip2,3,0.20301,17.33,37.05,OK
dataset_silesia_reymont.tar,bzip2,5,0.19478,16.66,34.9,OK
dataset_silesia_reymont.tar,bzip2,7,0.19102,14.43,26.68,OK
dataset_silesia_reymont.tar,bzip2,9,0.18781,14.17,31.75,OK
dataset_silesia_xml.tar,les,1,0.2297,116.1,426.8,OK
dataset_silesia_xml.tar,les,2,0.20409,143.18,512.33,OK
dataset_silesia_xml.tar,les,3,0.1902,137.64,503.71,OK
dataset_silesia_xml.tar,les,4,0.18305,82.82,498.18,OK
dataset_silesia_xml.tar,les,5,0.17968,87.27,511.84,OK
dataset_silesia_xml.tar,les,6,0.17806,80.16,431.49,OK
dataset_silesia_xml.tar,les,7,0.17763,45.69,399.67,OK
dataset_silesia_xml.tar,les,8,0.17732,41.65,390.37,OK
dataset_silesia_xml.tar,les,9,0.17732,24.64,404.37,OK
dataset_silesia_xml.tar,gzip,1,0.18064,153.99,218.42,OK
dataset_silesia_xml.tar,gzip,3,0.15388,115.8,222.64,OK
dataset_silesia_xml.tar,gzip,5,0.13659,87.59,240.77,OK
dataset_silesia_xml.tar,gzip,7,0.12652,51.53,244.67,OK
dataset_silesia_xml.tar,gzip,9,0.1237,32.61,236.98,OK
dataset_silesia_xml.tar,lz4,1,0.22935,401.7,487.26,OK
dataset_silesia_xml.tar,lz4,3,0.15948,143.73,450.02,OK
dataset_silesia_xml.tar,lz4,5,0.14839,98.91,522.47,OK
dataset_silesia_xml.tar,lz4,7,0.14489,70.09,503.05,OK
dataset_silesia_xml.tar,lz4,9,0.1441,54.99,528.26,OK
dataset_silesia_xml.tar,zstd,1,0.13023,413.32,801.8,OK
dataset_silesia_xml.tar,zstd,3,0.11937,290.14,705.21,OK
dataset_silesia_xml.tar,zstd,5,0.10779,137.83,723.86,OK
dataset_silesia_xml.tar,zstd,7,0.09955,97.47,720.25,OK
dataset_silesia_xml.tar,zstd,9,0.09697,77.11,641.59,OK
dataset_silesia_xml.tar,zstd,11,0.09344,45.33,657.03,OK
dataset_silesia_xml.tar,zstd,13,0.09293,26.14,720.09,OK
dataset_silesia_xml.tar,zstd,15,0.09053,15.51,689.87,OK
dataset_silesia_xml.tar,zstd,17,0.08692,7.4,623.06,OK
dataset_silesia_xml.tar,bzip2,1,0.10594,15.21,61.53,OK
dataset_silesia_xml.tar,bzip2,3,0.09093,13.88,54.58,OK
dataset_silesia_xml.tar,bzip2,5,0.08454,12.53,53.04,OK
dataset_silesia_xml.tar,bzip2,7,0.08179,12.67,51.88,OK
dataset_silesia_xml.tar,bzip2,9,0.08225,11.46,48.44,OK
dataset_silesia_samba.tar,les,1,0.38552,123.48,434.99,OK
dataset_silesia_samba.tar,les,2,0.36209,149.46,460.48,OK
dataset_silesia_samba.tar,les,3,0.35865,133.86,433.75,OK
dataset_silesia_samba.tar,les,4,0.35831,74.63,415.4,OK
dataset_silesia_samba.tar,les,5,0.38913,70.54,352.75,OK
dataset_silesia_samba.tar,les,6,0.36049,64.26,414.01,OK
dataset_silesia_samba.tar,les,7,0.36082,38.11,365.93,OK
dataset_silesia_samba.tar,les,8,0.39826,36.63,289.77,OK
dataset_silesia_samba.tar,les,9,0.34007,21.87,340.81,OK
dataset_silesia_samba.tar,gzip,1,0.29362,112.74,197.17,OK
dataset_silesia_samba.tar,gzip,3,0.2772,86.89,191.8,OK
dataset_silesia_samba.tar,gzip,5,0.25539,62.1,211.51,OK
dataset_silesia_samba.tar,gzip,7,0.25091,35.09,202.15,OK
dataset_silesia_samba.tar,gzip,9,0.25024,24.04,201.12,OK
dataset_silesia_samba.tar,lz4,1,0.35724,400.11,596.47,OK
dataset_silesia_samba.tar,lz4,3,0.29243,103.5,612.6,OK
dataset_silesia_samba.tar,lz4,5,0.28648,74.37,621.73,OK
dataset_silesia_samba.tar,lz4,7,0.28495,53.54,625.12,OK
dataset_silesia_samba.tar,lz4,9,0.2846,42.91,628.34,OK
dataset_silesia_samba.tar,zstd,1,0.25517,362.41,1051.26,OK
dataset_silesia_samba.tar,zstd,3,0.23033,253.11,964.12,OK
dataset_silesia_samba.tar,zstd,5,0.21942,107.42,901.36,OK
dataset_silesia_samba.tar,zstd,7,0.20982,71.92,789.98,OK
dataset_silesia_samba.tar,zstd,9,0.20264,62.66,1001.47,OK
dataset_silesia_samba.tar,zstd,11,0.19985,30.9,1001.45,OK
dataset_silesia_samba.tar,zstd,13,0.19943,17.16,933.26,OK
dataset_silesia_samba.tar,zstd,15,0.19649,10.47,949.34,OK
dataset_silesia_samba.tar,zstd,17,0.18298,5.97,839.58,OK
dataset_silesia_samba.tar,bzip2,1,0.23504,17.64,43.41,OK
dataset_silesia_samba.tar,bzip2,3,0.21918,17.83,41.99,OK
dataset_silesia_samba.tar,bzip2,5,0.21407,18.79,41.44,OK
dataset_silesia_samba.tar,bzip2,7,0.21042,17.38,40.71,OK
dataset_silesia_samba.tar,bzip2,9,0.21048,16.67,41.02,OK
dataset_silesia_nci.tar,les,1,0.16582,140.76,677.93,OK
dataset_silesia_nci.tar,les,2,0.14864,164.75,725.69,OK
dataset_silesia_nci.tar,les,3,0.14003,165.31,736.76,OK
dataset_silesia_nci.tar,les,4,0.13589,120.82,777.28,OK
dataset_silesia_nci.tar,les,5,0.13385,105.73,770.19,OK
dataset_silesia_nci.tar,les,6,0.13286,100.5,767.33,OK
dataset_silesia_nci.tar,les,7,0.13249,66.28,722.81,OK
dataset_silesia_nci.tar,les,8,0.13229,65.2,669.23,OK
dataset_silesia_nci.tar,les,9,0.13226,35.96,615.27,OK
dataset_silesia_nci.tar,gzip,1,0.13779,186.12,245.8,OK
dataset_silesia_nci.tar,gzip,3,0.11949,148.84,258.05,OK
dataset_silesia_nci.tar,gzip,5,0.10068,108.97,265.47,OK
dataset_silesia_nci.tar,gzip,7,0.0936,68.21,269.23,OK
dataset_silesia_nci.tar,gzip,9,0.08903,18.94,274.22,OK
dataset_silesia_nci.tar,lz4,1,0.16506,575.81,628.65,OK
dataset_silesia_nci.tar,lz4,3,0.12694,167.5,658.72,OK
dataset_silesia_nci.tar,lz4,5,0.11568,106.69,696.61,OK
dataset_silesia_nci.tar,lz4,7,0.11111,56.51,731.98,OK
dataset_silesia_nci.tar,lz4,9,0.10979,36.2,654.96,OK
dataset_silesia_nci.tar,zstd,1,0.08505,696.76,1163.2,OK
dataset_silesia_nci.tar,zstd,3,0.08477,494.37,1170.79,OK
dataset_silesia_nci.tar,zstd,5,0.07699,159.15,1109.15,OK
dataset_silesia_nci.tar,zstd,7,0.07026,118.48,1229.68,OK
dataset_silesia_nci.tar,zstd,9,0.06699,95.6,1086.48,OK
dataset_silesia_nci.tar,zstd,11,0.06278,49.98,1038.49,OK
dataset_silesia_nci.tar,zstd,13,0.06291,23.33,1005.25,OK
dataset_silesia_nci.tar,zstd,15,0.05844,14.14,1065.92,OK
dataset_silesia_nci.tar,zstd,17,0.05505,6.27,1116.12,OK
dataset_silesia_nci.tar,bzip2,1,0.07028,13.85,64.77,OK
dataset_silesia_nci.tar,bzip2,3,0.06067,12.34,54.27,OK
dataset_silesia_nci.tar,bzip2,5,0.05731,10.28,51.63,OK
dataset_silesia_nci.tar,bzip2,7,0.05541,9.41,50.86,OK
dataset_silesia_nci.tar,bzip2,9,0.05403,10.03,50.3,OK
dataset_silesia_mr.tar,les,1,0.5916,108.36,500.7,OK
dataset_silesia_mr.tar,les,2,0.56724,104.33,473.19,OK
dataset_silesia_mr.tar,les,3,0.54412,102.11,489.65,OK
dataset_silesia_mr.tar,les,4,0.5263,54.3,502.18,OK
dataset_silesia_mr.tar,les,5,0.51792,48.51,488.15,OK
dataset_silesia_mr.tar,les,6,0.5146,43.76,476.44,OK
dataset_silesia_mr.tar,les,7,0.51394,28.5,322.66,OK
dataset_silesia_mr.tar,les,8,0.51372,25.6,314.9,OK
dataset_silesia_mr.tar,les,9,0.46214,18.64,145.22,OK
dataset_silesia_mr.tar,gzip,1,0.38568,85.48,160.48,OK
dataset_silesia_mr.tar,gzip,3,0.36972,54.28,153.75,OK
dataset_silesia_mr.tar,gzip,5,0.37227,33.93,149.51,OK
